TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
159.804,40.287,19.307,0.781,1.75251e+15
129.116,42.15,17.443,0,1.75251e+15
143.563,41.64,20.229,0.821,1.75251e+15
231.059,52.069,24.456,0,1.75251e+15
237.051,40.567,18.976,1.052,1.75251e+15
176.926,53.702,25.128,0,1.75251e+15
168.37,49.043,24.136,1.593,1.75251e+15
128.314,32.492,9.818,0,1.75251e+15
319.057,59.453,30.919,1.222,1.75251e+15
207.896,48.271,9.107,0,1.75251e+15
166.797,32.182,10.38,0.831,1.75251e+15
231.962,73.6,38.323,0,1.75251e+15
182.136,56.838,28.825,1.122,1.75251e+15
284.36,84.681,29.546,0,1.75251e+15
150.366,46.178,22.573,1.142,1.75251e+15
110.129,38.443,18.735,0,1.75251e+15
115.85,38.183,18.926,0.751,1.75251e+15
154.373,50.526,19.217,0,1.75251e+15
177.728,57.549,10.991,2.124,1.75251e+15
128.745,35.116,17.343,0,1.75251e+15
183.248,52.94,27.362,1.383,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
215.75,36.429,7.665,2.394,1.75251e+15
232.392,69.543,32.371,0,1.75251e+15
284.03,73.5,43.763,4.378,1.75251e+15
142.641,44.715,21.982,0,1.75251e+15
185.042,49.103,25.078,0.812,1.75251e+15
188.558,64.964,22.623,0,1.75251e+15
165.845,45.998,22.363,1.102,1.75251e+15
202.575,47.43,21.23,0,1.75251e+15
133.935,40.267,18.886,0.662,1.75251e+15
195.001,68.861,24.116,0,1.75251e+15
148.443,32.993,9.809,0.921,1.75251e+15
299.179,84.932,27.853,0,1.75251e+15
162.94,49.063,23.795,1.133,1.75251e+15
164.854,79.812,44.675,0,1.75251e+15
238.814,52.64,27.873,1.123,1.75251e+15
210.471,54.654,22.593,0,1.75251e+15
169.522,37.752,12.264,2.144,1.75251e+15
163.581,68.41,30.819,0,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
217.063,33.022,7.494,1.723,1.75251e+15
222.423,63.952,30.718,0,1.75251e+15
246.028,58.662,31.51,1.052,1.75251e+15
201.083,43.743,20.418,0,1.75251e+15
176.325,44.344,22.603,0.801,1.75251e+15
